Program,Organization,Type,Rating,Difficulty,Students,Students_old
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,Specialization,4.6,Beginner,13000,13k
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,Course,4.7,Beginner,12000,12k
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,Specialization,4.5,Beginner,260000,260k
Finance for Non-Finance Professionals,Rice University,Course,4.8,Beginner,69000,69k
Finance for Non-Financial Managers,Emory University,Course,4.4,Intermediate,12000,12k
Financial Accounting Fundamentals,University of Virginia,Course,4.8,Beginner,65000,65k
Financial Acumen for Non-Financial Managers,University of Pennsylvania,Course,4.5,Beginner,10000,10k
Financial Engineering and Risk Management Part I,Columbia University,Course,4.6,Mixed,100000,100k
Financial Management,University of Illinois at Urbana-Champaign,Specialization,4.7,Intermediate,76000,76k
Financial Markets,Yale University,Course,4.8,Beginner,470000,470k
Financial Markets and Investment Strategy,Indian School of Business,Specialization,4.5,Beginner,60000,60k
Financial Reporting,University of Illinois at Urbana-Champaign,Specialization,4.8,Intermediate,12000,12k
Financial Technology (Fintech) Innovations,University of Michigan,Specialization,4.7,Beginner,6500,6.5k
